,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
55,Lamtor4,Srm,Tmem14c,Tmem14c,Rpl32,Tmem14c,Srm,Cd81,Cd81,Eif5a,Spcs2,H2afz,Baz1a,Flywch2,Ptpn18,Eif5a,Cd81,Gm15915,Pik3r1,Pik3r1,Ptpn18,Actb,Smc1a,H1f0,H2afz,Spcs2,Tspo2,Gkap1,Gkap1,Parp11,Nfat5,Rgag4
56,Hmgb2,Tmem14c,Mif,Mif,Eef2,Mif,Rpl12,Psmb10,H2afz,Cd81,Mrpl33,Spcs2,Eif5a,Oas1c,Actb,Cd81,H2afz,Aspm,Sla2,Nfat5,Actb,Eif5a,Srm,Uba7,Psmb10,Mrpl33,Prss57,Apobr,Apobr,Nfat5,Dennd1c,Cnrip1
57,Hdgf,Rpl12,Smc1a,Smc1a,Dut,Smc1a,Rpl9,H2afz,Spcs2,H2afz,Parp1,Mrpl33,Cd81,Selp,Eif5a,H2afz,Psmb10,Kif11,Parp11,Dennd1c,Eif5a,Cd81,Tmem14c,Gabbr1,Spcs2,Etfb,Csrp3,Car2,Car2,Dennd1c,Jun,P2ry14
58,Rpl18a,Ldha,Srm,Srm,Stmn1,Srm,Slc25a5,Spcs2,Mrpl33,Spcs2,Cox8a,Parp1,H2afz,Ttc28,Cd81,Spcs2,Spcs2,Epor,Nfat5,Jun,Cd81,H2afz,Erp29,Med12l,Mrpl33,Cox8a,Casp3,Il2rg,Il2rg,Tgtp2,Tgm2,S1pr1
59,H2afj,Eif1,Erp29,Erp29,Tmem14c,Erp29,Rps17,Mrpl33,Parp1,Mrpl33,Etfb,Cox8a,Spcs2,Bex1,H2afz,Mrpl33,Mrpl33,Esco2,Dennd1c,Tgm2,H2afz,Psmb10,Rpl12,Ppp1r9a,Etfb,Parp1,Mis18bp1,Nkx2-3,Tie1,Tsc22d1,Gkap1,Maml2
60,Rps26,Calm2,Rpl12,Rpl12,Mif,Rpl12,Ptma,Parp1,Cox8a,Parp1,Rpl39,Etfb,Mrpl33,Uba7,Psmb10,Etfb,Etfb,Bub3,Tgtp2,Gkap1,Psmb10,Spcs2,Ldha,Prkg1,Cox8a,Rpl39,Tnfaip8l2,Jund,Nkx2-3,Jun,Apobr,Mast4
61,Sdsl,Rpl9,Rpl9,Rpl9,Smc1a,Rpl9,Eif2s2,Cox8a,Etfb,Cox8a,Ubb,Rpl39,Parp1,Gabbr1,Spcs2,Cox8a,Cox8a,Adam10,Tsc22d1,Apobr,Spcs2,Mrpl33,Eif1,Tox,Parp1,Ubb,Hmgb2,Tie1,Jund,Tgm2,Car2,Hdgfrp3
62,Lmnb1,Slc25a5,Slc25a5,Slc25a5,Srm,Slc25a5,mt-Nd5,Etfb,Rpl39,Etfb,Arpc1a,Ubb,Cox8a,Plscr4,Mrpl33,Parp1,Parp1,Arhgap30,Jun,Car2,Klk8,Etfb,Calm2,2610035D17Rik,Rpl39,Rpl32,Optn,Flywch2,Samd9l,Gkap1,Jund,Tcf7l2
63,Actb,Rps17,Rps17,Rps17,Rpl12,Rps17,Hint1,Rpl39,Ubb,Rpl39,Rpl32,Rpl32,Etfb,Ppp1r9a,Etfb,Rpl39,Rpl39,Rhoh,Tgm2,Jund,Mrpl33,Cox8a,Rpl9,Stat4,Ubb,Eef2,Fam64a,2900026A02Rik,Epsti1,Apobr,Il2rg,Zfpm1
64,Eif5a,Ptma,Ptma,Ptma,Rpl9,Ptma,Rpsa,Ubb,Rpl32,Ubb,Eef2,Eef2,Rpl39,Prkg1,Cox8a,Ubb,Ubb,Tnik,Gkap1,Il2rg,Etfb,Parp1,Slc25a5,St3gal6,Rpl32,Dut,Hist1h1d,Oas1c,Flywch2,Car2,Nkx2-3,Myl10
